Название,Описание,Оценка,Платформа,Версия,Ссылка,Дата добавления
Captain Hardcore,Интерактивный и простой симулятор и песочница сцен.,⭐⭐⭐,PCVR,0.9,https://www.patreon.com/CaptainHardcore,"January 3, 2022 8:15 AM"
Virt-A-Mate,"Сложный, но самый продвинутый симулятор и песочница сцен.",⭐⭐⭐,PCVR,1.19,https://www.patreon.com/meshedvr,"January 3, 2022 8:15 AM"
Home Together,"Хорошая графика и лицевая анимация, простой конструктор персонажа и 13 сцен с переключением скорости. “Сырая” в плане реализации, но есть потенциал.",⭐⭐,PC,0.1.1,https://www.patreon.com/hometogether,"September 13, 2022 2:52 AM"
Heat,"Несколько персонажей, набор игрушек и несколько сцен с разными позами.  Не фанат Furry.",⭐⭐,PC и VR,0.4.0.2,https://www.patreon.com/user?u=30965008,"August 10, 2022 7:38 AM"
My Lust Wish,Очень сырая. Попробовать позже.,⭐⭐,PC,0.4.5,https://www.patreon.com/MyLustWish,"January 3, 2022 10:13 AM"
Yiffalicious,"Одна большая локация, множество сцен для скачивания и возможность создавать свои.
Разрабатывается Yiffalicious 2. Не фанат Furry.",⭐⭐,PCVR,1.0,https://www.yiffalicious.com/,"January 3, 2022 8:16 AM"
Waifu Sex Simulator (Complete Collection),"Одна комната. До 1-4 девушек. Игрушки, плетки, шокер, цепи.
Управление ощущается кривым.",⭐⭐,PCVR,3.5,https://subscribestar.adult/dr-deviant?redirect_notice=true,"January 3, 2022 8:16 AM"
Nympho Trainer VR,"Одна комната и несколько типов активностей.
Одна девушка, с возможностью изменять одежду и пару мелочей.
Мало контента.",⭐⭐,PCVR,1.02,https://store.steampowered.com/app/978720/Nympho_Trainer_VR/,"January 3, 2022 8:15 AM"
Poke Abby VR,Настройка внешности персонажа и несколько сцен. Игра на 5 минут.,⭐,PCVR,1.0,https://oxopotion.itch.io/poke-abby,"January 3, 2022 8:16 AM"
Dr. Deviant,"Добавление статичных моделей, анимации и окружения. Полное отсутствие динамичности.",⭐,PCVR,21,https://www.patreon.com/lewdfraggy,"January 3, 2022 8:16 AM"
Primrose Dungeon (Prototype),"Простенькая демка без интерактивности. Есть потенциал, но пока сырая.",⭐,PCVR,1.0,https://www.patreon.com/SunbathG,"January 3, 2022 8:16 AM"
Wild Life,,,PC и VR,,,"August 10, 2022 8:32 AM"
Carnal Instinct,,,PC,,https://store.steampowered.com/agecheck/app/1495320/,"April 24, 2022 4:06 AM"
Skyrim (с модами),,,PC и VR,,,"April 23, 2022 5:39 PM"
Orc Massage,,,PC,,https://store.steampowered.com/app/1129540/,"April 13, 2022 12:17 PM"
She Is Sexaroid,,,PCVR,,https://f95zone.to/threads/she-is-sexaroid-daminz.4103/,"January 3, 2022 9:50 AM"
ComeCloser,,,PCVR,,https://www.patreon.com/comeclosergame,"January 3, 2022 9:40 AM"
Projekt Melody: A Nut Between Worlds,,,PC,,https://www.patreon.com/BigBangStudio,"January 3, 2022 9:37 AM"
Slimy Aliens,,,PC,,https://www.patreon.com/slimyAlien,"January 3, 2022 9:11 AM"