Сервис,Контент,Что хранится?,Ссылка
TickTick,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%97%D0%B0%D0%B4%D0%B0%D1%87%D0%B8%2074540f897c614e4a8e865ba75d128f7f.csv,"- Личные задачи
- Рутина
- Совместные задачи",ticktick.com
Google Keep,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%97%D0%B0%D0%BC%D0%B5%D1%82%D0%BA%D0%B8%203c8cabda21124c73810b05cc3cc4bf60.csv,Заметки и быстрые записи для дальнейшего разбора,keep.google.com
Anki,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%BA%D0%B8%20Anki%20bbce5f6a919d4967b8108ebe2f621d2b.csv,Карточки для интервального повторения по разным темам,apps.ankiweb.net
Google My Maps,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%B0%D1%80%D1%82%D1%8B%206c33e3879cc04ac8b147cdbd4d94244d.csv,"- Карта мест в Мосвке
- Карты путешествий",google.com/maps/d/u/0
GitHub,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%BE%D0%B4%20%D0%B8%20%D1%81%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D1%8B%207ff90b3eeaeb4ff1961b38fcc71e5711.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%91%D1%8D%D0%BA%D0%B0%D0%BF%D1%8B%200a70bf2dfdb8451297a8fe7a336d9bd2.csv","- Бэкап пространства Notion и хранилища Obsidian
- Сниппеты кода",github.com/astreloff?tab=repositories
Google Contacts,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D1%8B%20c3b9e7603ae34de0b676aaf9b2340328.csv,"- Телефонные номера
- Дни рождения
- Домашние адреса
- Электронные почты
- Другая информация о людях (группа, должность, код домофона и т.п.)",contacts.google.com
Google Calendar,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9C%D0%B5%D1%80%D0%BE%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D1%8F%20efd7c8c849104bc1aeb6f5de73d39896.csv,"- Предстоящие мероприятия (Мой календарь)
- Совместные мероприятия (Совместный календарь)
- Дни рождения (Дни рождения)
- Распорядок дня (Мой календарь)",calendar.google.com
Yandex Music,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9C%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%209722fd93407f44a6a767d2250f2ea38e.csv,Музыка,music.yandex.ru
Spotify,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9C%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%209722fd93407f44a6a767d2250f2ea38e.csv,Музыка и подкасты,open.spotify.com
Bitwarden,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9F%D0%B0%D1%80%D0%BE%D0%BB%D0%B8%20be4883ac1b9941faae550630f61d9c50.csv,,
Google Mail,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9F%D0%BE%D1%87%D1%82%D0%B0%20c2160a92962c4e16b3201f92d87fda16.csv,"Почта и уведомления с различных сайтов и сервисов, которыми я пользуюсь",mail.google.com
YouTube,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A1%D0%BF%D0%B8%D1%81%D0%BA%D0%B8%20%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%D0%B0%20296d4a381cd5445bbcd1aa020c15dfbd.csv,"- https://www.youtube.com/playlist?list=WL
- https://youtube.com/playlist?list=PLZmk_1khzrz_6ctbDGGUmYmYfopO4Ppzt
- https://www.youtube.com/@astreloff/playlists
- https://www.youtube.com/feed/subscriptions",youtube.com/@astreloff/playlists
Notion,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A1%D0%BF%D0%B8%D1%81%D0%BA%D0%B8%20%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%D0%B0%20296d4a381cd5445bbcd1aa020c15dfbd.csv,Основное рабочее пространство для хранения информации,notion.so
Raindrop,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A1%D1%81%D1%8B%D0%BB%D0%BA%D0%B8%201dc40f58b48e404793af7540bfac7607.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%92%D1%8B%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%2031a3c60073b7450eae6aea777f336f18.csv",Ссылки для дальнейшего разбора,raindrop.io
Google Chrome,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A1%D1%81%D1%8B%D0%BB%D0%BA%D0%B8%201dc40f58b48e404793af7540bfac7607.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A1%D0%BF%D0%B8%D1%81%D0%BA%D0%B8%20%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%D0%B0%20296d4a381cd5445bbcd1aa020c15dfbd.csv","- Ссылки на часто используемые сайты и сервисы
- Списки сериалов, фильмов, аниме",google.com/chrome
Google Drive,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A4%D0%B0%D0%B8%CC%86%D0%BB%D1%8B%208d00c2c5d2464941a712d5b9c06cd72d.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%94%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D1%8B%20cf33408b3f46436ab4d55af979ce971c.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%A4%D0%BE%D1%82%D0%BE%20c23759a0fa8d4bb4852439e50edad2a7.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20a6c6ac662098464782b4b38077efc979.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%B0%D1%80%D1%82%D1%8B%206c33e3879cc04ac8b147cdbd4d94244d.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9C%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%209722fd93407f44a6a767d2250f2ea38e.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B8%20883903cd5d9946c4a8a1723cf14b7a3f.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%BA%D0%B8%20Anki%20bbce5f6a919d4967b8108ebe2f621d2b.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%9A%D0%BE%D0%B4%20%D0%B8%20%D1%81%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D1%8B%207ff90b3eeaeb4ff1961b38fcc71e5711.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82%E2%80%9D%200aaaa0d8d28841ec948a5c77ba8a393c/%D0%91%D1%8D%D0%BA%D0%B0%D0%BF%D1%8B%200a70bf2dfdb8451297a8fe7a336d9bd2.csv","Основное облачное хранилище для файлов, таблиц, документов и хранилища Obsidian",drive.google.com
Obsidian,,—,obsidian.md