Название,Ссылка,Категория
Разработка навыка,https://yandex.ru/dev/dialogs/smart-home/doc/concepts/quick-start.html,Разработка навыков
Создать диалог,https://dialogs.yandex.ru/developer/,Разработка навыков
Яндекс Диалоги — Платформа для создания навыков,https://dialogs.yandex.ru/,Разработка навыков
Устройства,https://yandex.ru/quasar/iot,Информация
Улучшенный каталог навыков Алисы,https://alice.voice-ui.ru/,Информация
Умный дом Яндекса,https://yandex.ru/dev/dialogs/smart-home/,Информация
"Каталог навыков Алисы, голосового помощника от Яндекса",https://dialogs.yandex.ru/store?surface=station,Информация
Слушать музыку - Станция. Справка,https://yandex.ru/support/station/audio.html,Информация
База знаний,https://wiki.yaboard.com/w/,Информация
Что такое навыки - Станция. Справка,https://yandex.ru/support/station/skills/dialogs.html,Информация
Справочник голосовых команд - Станция. Справка,https://yandex.ru/support/station/skills/assistance-skills.html,Информация
IFTTT — Платформа для создания интеграций через вебхуки,https://ifttt.com/,Интеграции
Make — Платформа для создания интеграций через вебхуки,https://www.make.com/en/help/home,Интеграции