Название,Категория,Вывод,Текст программы
input(),Функции,"Меня зовут Андрей
Привет, Андрей!","name = input('Меня зовут ')
print(f'Привет, {name}!')"
print(),Функции,Привет мир!,print(’Привет мир!’)
Тернарный оператор if/else,Ветвление,"Введите число от 1 до 10. Число: 5
Верно!","number = int(input(""Введите число от 1 до 10. Число: ""))
answer = 'Верно!' if 1 <= number <= 10 else 'Число вне заданного диапазона!'
print(answer)"
Оператор ветвления if-elif-else,Ветвление,"Введите число от 1 до 10 или от 11 до 100. Число: 101
Число вне заданных диапазонов!","number = int(input(""Введите число от 1 до 10 или от 11 до 100. Число: ""))
if 1 <= number <= 10:
    print(f'Верно! Число ""{number}"" в пределах от 1 до 10')
elif 11 <= number <= 100:
    print(f'Верно! Число ""{number}"" в пределах от 10 до 100')
else:
    print('Число вне заданных диапазонов!')"
Выражение else,Циклы,Перебрали всю строку и не нашли букву 'ч’,"for i in 'Если в строке найдется заданный символ, цикл остановится':
    if i == 'ч':
        break
    else:
        print('Перебрали всю строку и не нашли букву \'ч\'')"
Оператор break,Циклы,Мне не дойт,"for i in 'Мне не дойти до ""И""':
    if i == 'и':
        break
    print(i, end='')"
Оператор continue,Циклы,Каждю пропщ,"for i in 'Каждую у пропущу':
    if i == 'у':
        continue
    print(i * 2, end='')"
Цикл for,Циклы,ККаажжддууюю ббууккввуу ууддввооюю ии ввссее вв ооддннуу ссттррооккуу,"for i in 'Каждую букву удвою и все в одну строку':
    print(i * 2, end='')"
Цикл while,Циклы,"1
2
3
4
5","i = 1
    while i != 5:
    print(i)
    i = i + 1
print(i)"
,Списки,,