Приложение:,Категория:,Ссылка:,Использую:
Nova Launcher,Лаунчер,https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime&hl=ru,No
Clix Icons,Иконки,https://play.google.com/store/apps/details?id=com.tung91.clix&hl=ru,No
BusyBox,Root,https://play.google.com/store/apps/details?id=stericson.busybox&hl=ru,No
Root Explorer,Root,https://play.google.com/store/apps/details?id=com.speedsoftware.rootexplorer&hl=ru,No
Xposed,Root,https://4pda.ru/forum/index.php?showtopic=425052,No
Lucky Patcher,Root,https://4pda.ru/forum/index.php?showtopic=298302,No
AdAway,Root,https://4pda.ru/forum/index.php?showtopic=275091,No
SuperSU,Root,https://4pda.ru/forum/index.php?showtopic=318487,No
Shazam,Распознавание музыки,https://play.google.com/store/apps/details?id=com.shazam.android&hl=ru,No
Google Translate,Переводчик,https://play.google.com/store/apps/details?id=com.google.android.apps.translate,No
Яндекс Переводчик,Переводчик,https://play.google.com/store/apps/details?id=ru.yandex.translate,No
Google Chrome,Браузер,https://play.google.com/store/apps/details?id=com.android.chrome&hl=ru,No
AliExpress и Pandao,Покупки,"https://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd&hl=ru ",No
Pandao,Покупки,https://play.google.com/store/apps/details?id=ru.pandao.client&hl=ru,No
MX Player,Видеоплеер,https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.pro&hl=ru,No
AirDroid,Передача файлов,https://play.google.com/store/apps/details?id=com.sand.airdroid&hl=ru,No
SHAREit,Передача файлов,https://play.google.com/store/apps/details?id=com.lenovo.anyshare.gps&hl=ru,No
Яндекс Карты,Навигация,https://play.google.com/store/apps/details?id=ru.yandex.yandexmaps&hl=ru,No
eReader Prestigio,Читалка,https://play.google.com/store/apps/details?id=com.prestigio.ereader&hl=ru,No
App&Game 4PDA,Каталог приложений,https://4pda.ru/forum/index.php?showtopic=275433,No
Betternet,ВПН (VPN),https://4pda.ru/forum/index.php?showtopic=704014,No
F.lux,Защита глаз,https://play.google.com/store/apps/details?id=com.justgetflux.flux&hl=ru,No
WhatsApp,Мессенджер,https://play.google.com/store/apps/details?id=com.whatsapp&hl=ru,No
Discord,Мессенджер,https://play.google.com/store/apps/details?id=com.discord&hl=ru,No
IconTorch,Фонарик,https://play.google.com/store/apps/details?id=ru.irk.ang.balsan.shortcutled&hl=ru,No
Solid Explorer,Файловый менеджер,https://play.google.com/store/apps/details?id=pl.solidexplorer2&hl=ru,No
Госуслуги,Госуслуги,https://play.google.com/store/apps/details?id=ru.rostel&hl=ru,No
Turbo VPN,ВПН (VPN),https://play.google.com/store/apps/details?id=free.vpn.unblock.proxy.turbovpn&hl=ru,No
Remote Link,Управление ПК,https://play.google.com/store/apps/details?id=com.asus.remotelink.full&hl=ru,No
CloudPlayer,Плеер,https://play.google.com/store/apps/details?id=com.doubleTwist.cloudPlayerPro&hl=ru,No
Inoreader,Новости,https://play.google.com/store/apps/details?id=com.innologica.inoreader&hl=ru,No
Яндекс Метро,Навигация,https://play.google.com/store/apps/details?id=ru.yandex.metro&hl=ru,No
Gmail,Почта,https://play.google.com/store/apps/details?id=com.google.android.gm&hl=ru,No
YouTube,Видео,https://play.google.com/store/apps/details?id=com.google.android.youtube&hl=ru,No
YouTube Vanced,Видео,https://4pda.ru/forum/index.php?showtopic=916464,No
Google Drive,Хранилище файлов,https://play.google.com/store/apps/details?id=com.google.android.apps.docs&hl=ru,No
Notion,Хранилище файлов,https://play.google.com/store/apps/details?id=notion.id,No
Google Календарь,Календарь,https://play.google.com/store/apps/details?id=com.google.android.calendar,No
Google Клавиатура,Клавиатура,https://play.google.com/store/apps/details?id=com.google.android.inputmethod.latin,No
Сбербанк Онлайн,Финансы,https://play.google.com/store/apps/details?id=ru.sberbankmobile,No
Microsoft To Do,Список задач,https://play.google.com/store/apps/details?id=com.microsoft.todos&hl=ru,No
Todoist,Список задач,https://play.google.com/store/apps/details?id=com.todoist&hl=ru,No
Retouch,Фоторедактор,https://play.google.com/store/apps/details?id=com.advasoft.touchretouch&hl=ru,No
Facetune2,Фоторедактор,https://play.google.com/store/apps/details?id=com.lightricks.facetune.free&hl=ru,No
Kiwi Browser,Браузер,https://play.google.com/store/apps/details?id=com.kiwibrowser.browser,No