Наименование,Описание,Категория
LOOKUP,"Ищет строку или столбец, содержащие ключевое значение. Возвращает значение ячейки, расположенной в диапазоне результатов в той же позиции, что и искомые строка или столбец.",Поиск
VLOOKUP,Производит поиск по первому столбцу диапазона и возвращает значение из найденной ячейки.,Поиск
HLOOKUP,Производит поиск по первой строке диапазона и возвращает значение из найденной ячейки.,Поиск
QUERY,"Поиск по условиям с группировкой, аналогично SQL",Фильтр
FILTER,"Отображает только те строки или столбцы в диапазоне, которые соответствуют заданным условиям.",Фильтр
INDEX,"Возвращает содержимое ячейки, находящейся на пересечении определенной строки и столбца в массиве.",Поиск
MATCH,Возвращает относительное положение значения в диапазоне.,Поиск
OFFSET,"Возвращает ссылку на диапазон, который отделен от определенной ячейки заданным количеством строк и столбцов.",Поиск
ISBLANK,"Определяет, является ли указанная ячейка пустой.",Информация
ISERROR,"Определяет, является ли указанное значение ошибкой.",Информация