Наличие,Наименование,Кол-во,Категория,Комната,Приоритет
No,Пододеяльник,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Наволочка,4,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Подушка,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Плед,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Простыня,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Наматрасник,1,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Матрас,1,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Зимнее одеяло,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Лёгкое одеяло,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Держатель для туалетной бумаги,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Ершик для унитаза,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Перчатки для душа,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Бритва,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Набор для стрижки ногтей,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Расчёска,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Мыло,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Резиновые перчатки,2,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Шампунь,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Среднее полотенце,2,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Большое полотенце (пляжное),1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Туалетная бумага,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Маленькое полотенце,2,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Кухонное полотенце (для посуды),1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Наборы ножей (металл и керамика),1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Подставка для ножей,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Кухонное полотенце (для рук),1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Прихватки для кухни,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Разделочная доска,2,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Дуршлаг,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Стиральная машина,1,Бытовая техника,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Пылесос,1,Бытовая техника,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Чайник,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Холодильник,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Плита и духовка,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Микроволновка,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Контейнеры для хранения еды,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Широкая тарелка,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Вилка,6,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Блюдце,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Ложка столовая,6,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Графин для воды,1,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Кружка,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Глубокая тарелка,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Кастрюля,3,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Ложка чайная,6,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Сковородка,2,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Стакан,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Салатница (миска),2,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Ведро для мытья полов,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Швабра,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Мусорное ведро,1,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Средство для мытья посуды,1,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Губка для посуды,2,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Стиральный порошок,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Ложка для обуви,1,Другое,../%D0%9F%D1%80%D0%B8%D1%85%D0%BE%D0%B6%D0%B0%D1%8F%20744205ff2816482b9254c9e8fe3a1b32.csv,Жизненно важные
No,Коврик для ванной,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Необходимые
No,Корзина для белья/Тазик для ванной,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Необходимые
No,Бумажные полотенца и салфетки,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Турка,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Заварники для чая,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Силиконовая лопатка,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Консервный нож,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Крышка для микроволновки,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Нож для очистки,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Терка,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Кухонные ножницы,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Перфорированная лопатка,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Губка металлическая,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Сетка для кухонной раковины и ванной,2,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Воронка,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Половник,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Мультиварка,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,"Контейнеры для круп и т.п. ",3,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Тряпка для стола,3,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Весы,1,Другое,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Необходимые
No,Утюг,1,Другое,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Необходимые
No,Вантуз гофрированный для прочистки труб,1,Другое,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Необходимые
No,Прищепки (?),20,Другое,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Необходимые
No,Вешалка,25,Другое,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Необходимые
No,Средство для мытья ванны,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Второстепенные
No,Освежитель воздуха,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Второстепенные
No,Средство для чистки туалета,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Второстепенные
No,Держатель для бумажных полотенец,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Фольга и пищевая пленка,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Кухонные щипцы,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,"Силиконовая кулинарная кисточка ",1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Сито,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Рулон целлофановых пакетов,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Штопор,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Венчик,1,Кухонные принадлежности,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Тостер (?),1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Кухонные весы,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Блендер,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Бокал,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Кухонный тазик,1,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Емкости для специй,5,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Веник и совок (?),1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Второстепенные
No,Тряпка для стекол,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Второстепенные
No,Средство для мытья стекол,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Второстепенные
No,Мусорные пакеты,1,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Второстепенные
No,Гладильная доска (?),1,Другое,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Второстепенные
No,Дезодорант для обуви,1,Другое,../%D0%9F%D1%80%D0%B8%D1%85%D0%BE%D0%B6%D0%B0%D1%8F%20744205ff2816482b9254c9e8fe3a1b32.csv,Второстепенные