Наименование,Описание,Ссылка
PoE Wiki,Фанатская вики.,https://www.poewiki.net/wiki/Path_of_Exile_Wiki
FilterBlade,Фильтр от NeverSink. Создание и настройка фильтров.,https://filterblade.xyz/
PoE Vault,Актуальные гайды и билды.,https://www.poe-vault.com/guideshttps://www.poe-vault.com/guides/builds
PoE Ninja,"Экономика, стоимость предметов и билды в ладдере.",https://poe.ninja/
PoE Trade,Торговля предметами и валютой.,https://www.pathofexile.com/trade/search/
PoE DB,Актуальная база данных игры.Моды предметов и крафт фоссилами.,https://poedb.tw/us/https://poedb.tw/us/mod.php
Aura Calculator,Калькулятор аур.,https://poe.mikelat.com/
PoE Lab,Актуальные ежедневно обновляемые карты лабиринтов.,https://www.poelab.com/
PoE Map,Обмен картами (?),https://poemap.live/
PoE Builds,"Агрегатор актуальных бидов с форума.При наведении на предмет/гем, нажать F1 для открытия Wiki.",https://www.poebuilds.cc/
Craft of Exile,"Сложный симулятор крафта, отображающий ожидаемые затраты и вероятность успеха.",https://www.craftofexile.com/en/
Blight Helper,Помощник для крафта при помощи масел.,https://blight.raelys.com/
Wraeclast,Актуальная информация о прошлых лигах.,https://wraeclast.com/
Grinding Zone,Агрегатор актуальных программ и сайтов.,https://grinding.zone/
Casual Exile Series,Табличка с полезной информацией.,https://docs.google.com/spreadsheets/d/1iUS1SL5vz8ts8S3m1CQg9b1HA1zlTIMkLSQy-cuQ4Cs/edit#gid=0
Vorici Chromatic Calculator,Калькулятор цветов сокетов,https://siveran.github.io/calc.html
PoE Trade Fuzzy Search,"Расширение для браузера, позволяющее осуществлять “неточный” поиск по статам",https://chrome.google.com/webstore/detail/path-of-exile-trade-fuzzy/mkbkmkampdnnbehdldipgjhbablkmfba